District,Year,coriander_Area,coriander_Production,coriander_Yield,dry chillies_Area,dry chillies_Production,dry chillies_Yield,garlic_Area,garlic_Production,garlic_Yield,onion_Area,onion_Production,onion_Yield,potato_Area,potato_Production,potato_Yield,sugarcane_Area,sugarcane_Production,sugarcane_Yield,sweet potato_Area,sweet potato_Production,sweet potato_Yield,guar seed_Area,guar seed_Production,guar seed_Yield,sun hemp_Area,sun hemp_Production,sun hemp_Yield,tapioca_Area,tapioca_Production,tapioca_Yield,citrus fruit_Area,citrus fruit_Production,citrus fruit_Yield,mango_Area,mango_Production,mango_Yield,other fresh fruits_Area,other fresh fruits_Production,other fresh fruits_Yield,other vegetables_Area,other vegetables_Production,other vegetables_Yield,pome fruit_Area,pome fruit_Production,pome fruit_Yield,other oilseeds_Area,other oilseeds_Production,other oilseeds_Yield,ginger_Area,ginger_Production,ginger_Yield,banana_Area,banana_Production,banana_Yield,tobacco_Area,tobacco_Production,tobacco_Yield,papaya_Area,papaya_Production,papaya_Yield,watermelon_Area,watermelon_Production,watermelon_Yield,turmeric_Area,turmeric_Production,turmeric_Yield,grapes_Area,grapes_Production,grapes_Yield,orange_Area,orange_Production,orange_Yield
Ajmer,1998 - 1999,260,235,0.9,3504,843,0.24,6,4,0.67,2809,9137,3.25,24,84,3.5,55,2627,47.76,10,12,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,1999 - 2000,137,155,1.13,3621,1243,0.34,9,3,0.33,2057,3505,1.7,2,2,1,45,1837,40.82,15,8,0.53,11231,442,0.04,6,3,0.5,3,4,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,2000 - 2001,198,189,0.95,2109,573,0.27,2,1,0.5,1363,2277,1.67,0,0,0,31,1291,41.65,25,20,0.8,14313,687,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,2001 - 2002,201,126,0.63,2608,2141,0.82,9,4,0.44,2107,3964,1.88,4,4,1,30,1431,47.7,30,24,0.8,6156,4578,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,2002 - 2003,31,25,0.81,940,85,0.09,10,5,0.5,449,604,1.35,3,2,0.67,35,1478,42.23,27,11,0.41,7030,28,0,3,0,0,0,0,0,273,0,0,90,0,0,162,0,0,2290,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,2003 - 2004,99,123,1.24,1050,1100,1.05,21,24,1.14,908,2613,2.88,0,0,0,34,1816,53.41,44,107,2.43,2294,0,0,1,0,0,0,0,0,270,0,0,77,0,0,300,0,0,2994,0,0,96,0,0,6229,4642,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,2004 - 2005,89,102,1.15,1628,1639,1.01,13,23,1.77,1274,3250,2.55,1,2,2,62,2996,48.32,56,40,0.71,5320,358,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,2005 - 2006,65,68,1.05,906,503,0.56,11,4,0.36,773,2440,3.16,2,2,1,30,1828,60.93,109,109,1,2099,241,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,2006 - 2007,46,54,1.17,745,492,0.66,8,10,1.25,547,1040,1.9,2,5,2.5,49,2828,57.71,82,155,1.89,6285,4119,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,2007 - 2008,81,63,0.78,1172,671,0.57,24,37,1.54,772,3359,4.35,0,0,0,42,2399,57.12,110,161,1.46,13812,7400,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
